utr_number,credited_amount,credit_date,narration
UTR72400499154788728743,3124.57,2024-06-25 03:41:06,Ea similique minus odit.
UTR05153195205852772217,26502.81,2024-06-15 18:38:29,Consequatur quibusdam illum animi.
UTR34324451076226838851,33097.04,2024-06-17 22:04:02,Repellendus vitae magnam libero placeat.
UTR34270866882634351751,29250.46,2024-06-26 18:03:03,Amet numquam quas quidem.
UTR93296685161227530463,22485.82,2024-06-10 08:12:34,Consequuntur fugit delectus odio possimus officia voluptatum mollitia.
UTR10690331190790306738,27832.84,2024-06-17 00:46:50,Aliquid numquam saepe.
UTR53428364408926870568,29001.1,2024-06-13 12:13:03,Error voluptatum ipsum expedita repellendus.
UTR34270866882634351751,29250.46,2024-06-26 20:03:03,DUPLICATE CREDIT ENTRY - assumenda
UTR97700886008484086211,10292.53,2024-06-19 15:59:16,Deserunt autem esse veniam ex nulla rem eveniet.
UTR64710276773592555625,8339.84,2024-06-08 04:30:35,Labore ipsa possimus eum error repellat.
UTR45115447962757059640,22740.81,2024-06-06 16:27:10,Quae ipsam cumque natus recusandae dolore.
UTR49912165585239868000,16970.47,2024-06-06 11:14:04,Nisi totam autem dolorum optio cumque nostrum.
UTR44905814770054119986,12316.07,2024-06-23 10:34:46,Dolorem at rem aut.
UTR61567933410166687002,32310.49,2024-06-11 19:08:42,Nihil molestias placeat mollitia veritatis.
UTR61771159212499856984,40490.58,2024-06-13 15:37:17,Quis perspiciatis laudantium neque eaque.
UTR70213556909275571928,5409.9,2024-06-27 11:32:58,Iste laborum neque sit sed at.
UTR17535560932048996423,20248.4,2024-06-06 04:55:15,Fugiat asperiores recusandae quisquam illo quibusdam.
UTR47383473597746886239,13317.52,2024-07-02 03:29:09,Ab possimus repellendus voluptates in consequatur.
UTR68144739473121727155,38149.29,2024-06-22 09:09:23,Architecto natus nostrum cum.
UTR66416052975161369681,19068.3,2024-06-30 16:55:06,Natus quo libero magni nemo eaque molestiae.
UTR98665240415747338484,40394.1,2024-06-18 15:50:30,Velit distinctio reiciendis rerum architecto sed recusandae.
UTR77725228728080100623,4190.97,2024-06-21 23:02:39,Occaecati delectus omnis hic qui sunt.
UTR82071518203778892554,11058.8,2024-06-12 02:44:35,Harum hic beatae explicabo itaque cupiditate perferendis reiciendis.
UTR11219656523413899940,38905.97,2024-06-27 20:17:49,Dignissimos non deleniti hic officia.
UTR19956046618398262244,33426.37,2024-06-23 05:33:00,Cumque voluptatem eos nemo veritatis maiores tempore.
UTR39502402681177589178,32216.17,2024-06-03 17:12:45,Dolore quia nam porro dolore.
UTR85289226801824225358,12119.49,2024-07-01 13:15:03,Molestiae quidem quis ipsam dolor incidunt.
UTR09728962309130756263,3635.78,2024-06-05 05:55:21,Voluptatibus incidunt voluptatum.
UTR14262655110475412126,7971.57,2024-07-01 13:23:18,Voluptates perspiciatis id quibusdam vitae inventore ab.
UTR87851910883982258713,41206.31,2024-06-06 06:41:34,Laudantium aperiam ipsa in laborum.
UTR37613791805526965827,22049.64,2024-06-16 20:15:17,Accusantium architecto ea aliquam.
UTR95269495888794705516,3642.55,2024-06-10 21:14:00,Sint blanditiis repellat distinctio qui porro.
UTR57332214188805929622,15802.43,2024-07-02 22:56:45,Facere velit quam libero.
UTR18299229959001094396,3524.07,2024-06-06 09:31:52,Omnis dolorum fuga temporibus.
UTR87403450541566765277,44250.94,2024-06-25 05:07:43,Sint consectetur sint dolorum quae.
UTR51370985931746120047,13823.96,2024-06-28 07:01:47,Sunt error soluta soluta.
UTR22901476797643815614,30964.14,2024-06-20 14:53:40,Inventore reprehenderit officiis nisi error nobis.
UTR97401489025039261429,31095.85,2024-07-02 11:00:29,Odio possimus sed recusandae id voluptas repudiandae.
UTR79087406403910651801,10765.99,2024-06-08 20:31:30,Eius modi cumque.
UTR30165712082677345401,21236.57,2024-06-07 05:27:22,Sunt consequatur quo quidem consequatur voluptatibus.
UTR40244550229612018366,26857.78,2024-07-04 02:46:29,Quam occaecati corrupti illum placeat similique.
UTR66182512868230047868,13200.73,2024-06-09 00:00:24,Eaque repudiandae excepturi neque necessitatibus laborum exercitationem.
UTR12478261375060685361,21478.85,2024-06-20 08:47:37,Enim deleniti sapiente nulla sint veritatis laborum.
UTR86926179640537735158,44619.76,2024-06-26 11:43:47,Laboriosam debitis id eum quasi.
UTR64492519254629148652,20118.12,2024-06-10 04:51:20,Hic quo nihil magnam exercitationem ad.
UTR90053293183933529042,11010.03,2024-06-16 06:01:05,Omnis provident a labore consequatur dolorem.
UTR78652785854973348434,6702.36,2024-06-30 18:13:34,Commodi similique ipsam.
UTR65604945198327315851,42389.97,2024-06-05 16:06:22,Nihil perferendis est dolores blanditiis fuga consequuntur harum.
UTR13237058957829114678,24481.42,2024-07-02 09:38:20,Eos ullam assumenda rerum.
UTR04797480162456506098,21961.19,2024-06-16 02:41:23,Laboriosam id magni ullam porro molestiae ratione facere.
UTR50163159996504773586,13333.5,2024-06-05 23:13:32,Consequuntur esse dolorum culpa incidunt fugiat ipsum.
UTR88355231243292127799,33541.74,2024-06-08 17:22:13,Voluptas quos eveniet eligendi ratione facilis ut.
UTR08932460953962185188,34056.01,2024-06-08 05:10:50,Odio cumque consequuntur dignissimos dignissimos animi expedita eligendi.
UTR36576615654527111161,7858.43,2024-06-25 19:21:17,Nihil harum provident dignissimos quibusdam repellat aperiam.
UTR21046963259532787747,37787.73,2024-06-16 14:59:34,Reiciendis modi facilis deserunt.
UTR30174268414593327279,46170.95,2024-06-11 21:15:55,Ad exercitationem autem reiciendis.
UTR98373540331739363854,42581.99,2024-06-08 07:32:05,Expedita exercitationem quos maxime.
UTR72779010432898614341,24726.44,2024-06-14 12:08:32,Maiores mollitia ex incidunt iure.
