settlement_id,payment_id,settled_amount,settlement_date,utr_number
setl_LY60481754,pay_FL10433218,13823.96,2024-06-28 03:01:47,UTR51370985931746120047
setl_QV11382675,pay_WZ38637940,44619.76,2024-06-26 09:43:47,UTR86926179640537735158
setl_QN50643171,pay_HY15594078,11010.03,2024-06-16 03:01:05,UTR90053293183933529042
setl_WY28421020,pay_OX34131647,32216.17,2024-06-03 17:12:45,UTR39502402681177589178
setl_EZ39084700,pay_XX32764835,40490.58,2024-06-13 14:37:17,UTR61771159212499856984
setl_BC78961183,pay_PV53767242,7858.43,2024-06-25 18:21:17,UTR36576615654527111161
setl_QH52809885,pay_ME87101226,42389.97,2024-06-05 15:06:22,UTR65604945198327315851
setl_BM49368998,pay_DA18451462,26857.78,2024-07-04 01:46:29,UTR40244550229612018366
setl_FD75254599,pay_BH52880957,30964.14,2024-06-20 10:53:40,UTR22901476797643815614
setl_DA97840369,pay_HM18227824,33097.04,2024-06-17 22:04:02,UTR34324451076226838851
setl_BK60607159,pay_OL13315098,19068.3,2024-06-30 15:55:06,UTR66416052975161369681
setl_OH64535218,pay_EP34738299,33541.74,2024-06-08 17:22:13,UTR88355231243292127799
setl_EC79955271,pay_MI01065133,12316.07,2024-06-23 07:34:46,UTR44905814770054119986
setl_ME79807935,pay_AF81080132,11058.8,2024-06-11 23:44:35,UTR82071518203778892554
setl_GJ66590515,pay_ND74687234,20118.12,2024-06-10 03:51:20,UTR64492519254629148652
setl_LN81685054,pay_RP20812191,15802.43,2024-07-02 20:56:45,UTR57332214188805929622
setl_CN29270653,pay_QZ99854353,13317.52,2024-07-02 02:29:09,UTR47383473597746886239
setl_HS24075818,pay_PX18384251,21478.85,2024-06-20 08:47:37,UTR12478261375060685361
setl_CS53051522,pay_RS41241182,24726.44,2024-06-14 09:08:32,UTR72779010432898614341
setl_MI03697117,pay_VC64005242,34056.01,2024-06-08 01:10:50,UTR08932460953962185188
setl_XQ88806706,pay_YC98262045,26502.81,2024-06-15 18:38:29,UTR05153195205852772217
setl_GZ04303054,pay_ZQ32260256,44250.94,2024-06-25 02:07:43,UTR87403450541566765277
setl_LI58416169,pay_RE54330365,22740.81,2024-06-06 13:27:10,UTR45115447962757059640
setl_RY16582029,pay_BM94019655,5409.9,2024-06-27 07:32:58,UTR70213556909275571928
setl_FH56543102,pay_QH83561595,38149.29,2024-06-22 07:09:23,UTR68144739473121727155
setl_GO18844225,pay_AT66299468,24481.42,2024-07-02 06:38:20,UTR13237058957829114678
setl_DR66912517,pay_VF38721489,12119.49,2024-07-01 09:15:03,UTR85289226801824225358
setl_NI41438424,pay_PJ17693676,3524.07,2024-06-06 06:31:52,UTR18299229959001094396
setl_ZZ90784473,pay_WC17278895,8339.84,2024-06-08 04:30:35,UTR64710276773592555625
setl_CP88153714,pay_TS34873471,37787.73,2024-06-16 11:59:34,UTR21046963259532787747
setl_WD01687339,pay_AD23166587,21961.19,2024-06-16 01:41:23,UTR04797480162456506098
setl_WJ35841687,pay_OR46688937,16970.47,2024-06-06 10:14:04,UTR49912165585239868000
setl_IU25787298,pay_ID80699016,3642.55,2024-06-10 21:14:00,UTR95269495888794705516
setl_OU94097499,pay_DW64641708,3635.78,2024-06-05 01:55:21,UTR09728962309130756263
setl_JU68970283,pay_KM27193745,6702.36,2024-06-30 15:13:34,UTR78652785854973348434
setl_SH43757584,pay_RM66319314,40394.1,2024-06-18 13:50:30,UTR98665240415747338484
setl_OO21993308,pay_TJ50671657,21236.57,2024-06-07 02:27:22,UTR30165712082677345401
setl_ZY93802620,pay_WD94531473,3124.57,2024-06-25 00:41:06,UTR72400499154788728743
setl_YS15274205,pay_HM54549480,22485.82,2024-06-10 07:12:34,UTR93296685161227530463
setl_PX74549904,pay_XE01436349,46170.95,2024-06-11 18:15:55,UTR30174268414593327279
setl_YF56878339,pay_MN43135182,41206.31,2024-06-06 06:41:34,UTR87851910883982258713
setl_GA97187072,pay_DJ52408240,10765.99,2024-06-08 19:31:30,UTR79087406403910651801
setl_YC70462265,pay_FE52047116,13200.73,2024-06-08 20:00:24,UTR66182512868230047868
setl_UW63375243,pay_CT69993867,27832.84,2024-06-16 22:46:50,UTR10690331190790306738
setl_KM30284395,pay_KA34123281,29001.1,2024-06-13 09:13:03,UTR53428364408926870568
setl_EP56624628,pay_IO71349361,29250.46,2024-06-26 14:03:03,UTR34270866882634351751
setl_EM83046990,pay_IF47174648,42581.99,2024-06-08 03:32:05,UTR98373540331739363854
setl_FD67854458,pay_EH39904902,20248.4,2024-06-06 01:55:15,UTR17535560932048996423
setl_QW53693785,pay_QZ55125674,4190.97,2024-06-21 19:02:39,UTR77725228728080100623
setl_NO12038750,pay_XN80876038,10292.53,2024-06-19 11:59:16,UTR97700886008484086211
setl_RY82339845,pay_AJ71093248,32310.49,2024-06-11 18:08:42,UTR61567933410166687002
setl_ON17659180,pay_JY84677378,31095.85,2024-07-02 07:00:29,UTR97401489025039261429
setl_GV39685621,pay_CI40449972,13333.5,2024-06-05 22:13:32,UTR50163159996504773586
setl_TE62961943,pay_TZ39636057,7971.57,2024-07-01 13:23:18,UTR14262655110475412126
setl_WJ78886101,pay_EE71870262,33426.37,2024-06-23 04:33:00,UTR19956046618398262244
