payment_id,order_id,amount,currency,payment_date,method,status
pay_FL10433218,ord_BJ60013389,13823.96,INR,2024-06-21 03:01:47,upi,captured
pay_WZ38637940,ord_FY26542351,44619.76,INR,2024-06-24 03:43:47,emi,captured
pay_HY15594078,ord_CQ18495931,11010.03,USD,2024-06-14 01:01:05,emi,captured
pay_OX34131647,ord_IU25534192,32529.23,USD,2024-06-01 17:12:45,wallet,captured
pay_XX32764835,ord_KT03056413,40490.58,INR,2024-06-08 14:37:17,upi,captured
pay_PV53767242,ord_OI88496965,7858.43,INR,2024-06-23 13:21:17,card,captured
pay_ME87101226,ord_RU66978480,42389.97,EUR,2024-06-03 12:06:22,netbanking,captured
pay_DA18451462,ord_MJ48281489,26857.78,INR,2024-06-26 01:46:29,card,captured
pay_BH52880957,ord_UF54303911,30964.14,INR,2024-06-18 09:53:40,emi,captured
pay_HM18227824,ord_HC63834657,33097.04,INR,2024-06-07 22:04:02,card,captured
pay_OL13315098,ord_EG30103105,19068.3,INR,2024-06-28 07:55:06,netbanking,captured
pay_EP34738299,ord_AD76311656,33541.74,INR,2024-06-06 11:22:13,emi,captured
pay_MI01065133,ord_CZ72624731,12316.07,INR,2024-06-21 05:34:46,wallet,captured
pay_AF81080132,ord_QY73602606,11058.8,INR,2024-06-09 20:44:35,card,captured
pay_ND74687234,ord_GH98050097,20118.12,INR,2024-06-08 01:51:20,upi,captured
pay_RP20812191,ord_FA61939909,15802.43,INR,2024-06-30 18:56:45,wallet,captured
pay_QZ99854353,ord_KG24751079,13317.52,INR,2024-06-29 20:29:09,emi,captured
pay_PX18384251,ord_QJ42784980,21478.85,EUR,2024-06-18 08:47:37,wallet,captured
pay_RS41241182,ord_DF93534874,24726.44,INR,2024-06-12 07:08:32,card,captured
pay_VC64005242,ord_CX86801128,34056.01,EUR,2024-06-05 20:10:50,card,captured
pay_YC98262045,ord_VJ53315869,26502.81,USD,2024-06-13 12:38:29,card,captured
pay_ZQ32260256,ord_MD34216073,44250.94,INR,2024-06-22 23:07:43,netbanking,captured
pay_RE54330365,ord_QL45868501,22740.81,INR,2024-06-04 09:27:10,emi,captured
pay_BM94019655,ord_AH81693406,5409.9,INR,2024-06-25 05:32:58,emi,captured
pay_QH83561595,ord_IM48465648,38149.29,USD,2024-06-20 06:09:23,emi,captured
pay_AT66299468,ord_CR43699577,24481.42,INR,2024-06-30 00:38:20,netbanking,captured
pay_VF38721489,ord_EN34332003,12119.49,EUR,2024-06-29 09:15:03,card,captured
pay_PJ17693676,ord_JP01632870,3553.7,USD,2024-06-03 23:31:52,upi,captured
pay_WC17278895,ord_QW98687277,8339.84,USD,2024-06-05 21:30:35,emi,captured
pay_TS34873471,ord_OY34558122,37787.73,INR,2024-06-14 06:59:34,netbanking,captured
pay_AD23166587,ord_AW36690967,21961.19,USD,2024-06-13 21:41:23,wallet,captured
pay_OR46688937,ord_IN67065627,16970.47,EUR,2024-06-04 07:14:04,emi,captured
pay_ID80699016,ord_VW20465375,3642.55,INR,2024-06-08 18:14:00,upi,captured
pay_DW64641708,ord_JP31003309,3635.78,INR,2024-06-03 01:55:21,netbanking,captured
pay_KM27193745,ord_KR91241904,6702.36,EUR,2024-06-22 15:13:34,emi,captured
pay_RM66319314,ord_GP19058651,40394.1,INR,2024-06-16 07:50:30,card,captured
pay_TJ50671657,ord_BU62849877,21236.57,INR,2024-06-04 21:27:22,card,captured
pay_WD94531473,ord_FN99650752,3124.57,INR,2024-06-22 20:41:06,card,captured
pay_HM54549480,ord_CY13678377,22485.82,INR,2024-06-08 06:12:34,upi,captured
pay_XE01436349,ord_RT88568557,46170.95,INR,2024-06-09 14:15:55,emi,captured
pay_MN43135182,ord_SO74989413,41817.78,INR,2024-06-04 01:41:34,upi,captured
pay_DJ52408240,ord_EC42710947,10765.99,INR,2024-06-06 13:31:30,card,captured
pay_FE52047116,ord_HJ90229413,13333.63,INR,2024-06-06 12:00:24,netbanking,captured
pay_CT69993867,ord_WN96499091,27832.84,INR,2024-06-14 22:46:50,upi,captured
pay_KA34123281,ord_TS67974034,29001.1,USD,2024-06-07 09:13:03,card,captured
pay_IO71349361,ord_VK24210249,29250.46,USD,2024-06-24 10:03:03,emi,captured
pay_IF47174648,ord_BF71906594,42581.99,INR,2024-06-06 01:32:05,emi,captured
pay_EH39904902,ord_WA74296717,20248.4,EUR,2024-06-03 21:55:15,upi,captured
pay_QZ55125674,ord_XZ80715451,4190.97,EUR,2024-06-19 19:02:39,emi,captured
pay_XN80876038,ord_CS77034824,10292.53,INR,2024-06-17 10:59:16,upi,captured
pay_AJ71093248,ord_TS61317127,32310.49,INR,2024-06-09 12:08:42,netbanking,captured
pay_JY84677378,ord_YG39821465,31095.85,EUR,2024-06-30 02:00:29,card,captured
pay_CI40449972,ord_MS75588675,13333.5,INR,2024-06-03 17:13:32,card,captured
pay_TZ39636057,ord_VG66270289,7971.57,USD,2024-06-29 07:23:18,netbanking,captured
pay_EE71870262,ord_UO45961586,33426.37,USD,2024-06-20 20:33:00,netbanking,captured
